noticeIdentifier,noticeVersion,organisationName,organisationIdentifier,organisationCity,organisationPostCode,organisationCountrySubdivision,organisationCountryCode,organisationInternetAddress,organisationNaturalPerson,organisationRole,buyerProfileURL,buyerLegalType,buyerContractingEntity,winnerSize,winnerOwnerNationality,winnerListed
c594608d-848b-4979-a5f7-1b2c10389ab4,1,Groth & Co. Bauunternehmung GmbH,DE137376548,Rostock,18147,DE803,DEU,,,winner,,,,medium,DEU,
83f59975-adcb-4316-b137-1589acd112f3,1,Treevolution.de GmbH,DE 279247126,Herrsching am Ammersee,82211,DE21L,DEU,www.treevolution.de,,winner,,,,small,,FALSE
964c5873-c571-472b-bdb3-edac9f842394,1,WKC Hamburg GmbH,DE 152675426,Hamburg,21079,DE600,DEU,,,winner,,,,small,DEU,FALSE
72d6c8e6-768c-4228-b51e-351d701cbf7b,1,MTM-Plan GmbH,DE 323917727,Eschlkam,93458,DE235,DEU,,,winner,,,,medium,DEU,
4917c6cb-e71b-4beb-aad6-108b6c1dec5e,1,FAIRPLAY Schleppdampfschiffsreederei R. Borchard GmbH,DE 118512422,Hamburg,20459,DE600,DEU,,,winner,,,,medium,,
b9120f69-d283-478b-bf7e-fd6b98a67a22,1,GMB GmbH,DE203935893,Senftenberg,1968,DE40B,DEU,,,winner,,,,large,DEU,
04920504-90df-4e2c-874e-5cee35fa7f75,1,AFRY Deutschland GmbH,DE167064991,Mannheim,68161,DE126,DEU,,,winner,,,,large,DEU,
d42b6dae-298b-4991-986a-6d1378ce944a,1,WTM Engineers GmbH,DE 245 587 176,Hamburg,20459,DE600,DEU,,,winner,,,,small,DEU,
08d3ba7d-ef78-473e-820e-9a017c7ecec7,1,voestalpine Turnout Technology Germany GmbH,DE213046970,Butzbach,35510,DE71E,DEU,,,winner,,,,large,DEU,
34c4dc7e-832c-4281-b6a6-f2603c611404,1,STRABAG AG,DE137223649,Regensburg,93059,DE232,DEU,,,winner,,,,large,DEU,
aa911f91-fc37-4ec4-91e4-5f314d42d5a9,1,Friedrich Hofmann GmbH Erlangen,DE 219266983,Erlangen,91056,DE252,DEU,,,winner,,,,medium,DEU,
27e83546-cd08-4e3f-bb35-2e7bf0937c24,1,Beyss Architekten GmbH,DE20537051147,Bonn,53115,DEA22,DEU,,,winner,,,,small,,
27e83546-cd08-4e3f-bb35-2e7bf0937c24,1,Stern Landschaften,DE08154711,Köln,50668,DEA23,DEU,,,winner,,,,small,,
27e83546-cd08-4e3f-bb35-2e7bf0937c24,1,Schneider & Steib BI PartG mbB,DE321720197,Meckenheim,53340,DEA2C,DEU,,,winner,,,,small,,
27e83546-cd08-4e3f-bb35-2e7bf0937c24,1,Enotherm GmbH,DE33457062151,Meschede,59872,DEA57,DEU,,,winner,,,,small,,
27e83546-cd08-4e3f-bb35-2e7bf0937c24,1,arc Projektmanagement GmbH,DE 278411841,Magdeburg,39118,DEE03,DEU,,,winner,,,,small,,
13995ed9-710d-41c1-b823-1caba23154aa,1,Dedalus HealthCare GmbH - Stuttgart,DE172711289,Stuttgart,70499,DE111,DEU,https://www.dedalus.com/dach/de/,,winner,,,,medium,,
6008d0a6-39a9-4a0e-87eb-52a0266db600,1,DTS Dachtechnik System GmbH & Co. KG,DE273246247,Bergkirchen,85232,DE217,DEU,,,winner,,,,medium,,
